age,job,marital,education,balance,housing,loan,duration,pdays,previous,poutcome,deposit
38,management,married,tertiary,-498,no,no,85,-1,0,unknown,no
52,technician,married,secondary,136,no,no,88,-1,0,unknown,no
57,blue_collar,single,primary,3495,no,yes,362,-1,0,unknown,no
60,housemaid,married,secondary,0,no,no,676,181,5,failure,yes
40,management,married,tertiary,3352,yes,no,138,-1,0,unknown,yes
32,blue_collar,married,secondary,2089,yes,no,132,-1,0,unknown,yes
53,admin,single,secondary,2398,yes,no,317,180,2,failure,yes
25,student,single,secondary,486,no,no,273,199,4,failure,yes
32,technician,single,secondary,230,yes,no,442,266,8,failure,yes
52,blue_collar,married,secondary,1117,yes,no,365,-1,0,unknown,no
47,unknown,married,unknown,677,no,no,900,86,2,failure,yes
28,entrepreneur,single,secondary,1734,yes,no,161,-1,0,unknown,no
41,admin,married,secondary,1395,yes,yes,85,308,2,failure,no
31,admin,single,secondary,81,yes,no,215,165,11,other,no
59,unknown,single,secondary,3237,no,no,100,-1,0,unknown,no
40,management,married,tertiary,413,yes,no,150,-1,0,unknown,no
26,admin,single,secondary,-930,yes,no,786,-1,0,unknown,yes
30,admin,single,secondary,265,yes,no,681,181,2,success,yes
25,blue_collar,single,secondary,1243,no,yes,1341,-1,0,unknown,yes
48,admin,married,secondary,368,no,no,363,140,7,success,yes
38,services,single,secondary,0,yes,no,166,-1,0,unknown,no
39,self_employed,married,secondary,4722,yes,no,483,-1,0,unknown,no
30,technician,single,secondary,458,no,no,51,-1,0,unknown,no
37,management,single,tertiary,62,yes,no,428,272,8,success,yes
50,blue_collar,married,primary,12519,yes,no,615,34,1,failure,yes
82,retired,married,unknown,211,no,no,195,-1,0,unknown,no
34,services,single,secondary,-701,yes,no,610,-1,0,unknown,yes
59,technician,married,secondary,135,yes,yes,416,-1,0,unknown,yes
53,blue_collar,married,secondary,1653,no,no,88,-1,0,unknown,no
53,blue_collar,married,unknown,2509,no,no,231,-1,0,unknown,yes
30,services,married,secondary,48,yes,no,662,-1,0,unknown,yes
32,management,single,tertiary,506,no,no,63,-1,0,unknown,yes
80,retired,married,primary,155,no,no,290,93,2,success,yes
48,blue_collar,married,primary,1080,yes,no,197,-1,0,unknown,no
70,retired,married,primary,6538,no,no,394,-1,0,unknown,yes
25,technician,single,secondary,325,no,no,716,-1,0,unknown,yes
35,services,married,secondary,128,yes,no,136,-1,0,unknown,no
45,admin,married,secondary,1097,yes,yes,174,208,1,failure,no
39,management,married,tertiary,0,no,no,94,-1,0,unknown,no
32,services,single,secondary,486,no,no,1181,-1,0,unknown,yes
43,admin,married,secondary,877,yes,no,135,-1,0,unknown,no
33,services,single,unknown,2297,no,no,527,-1,0,unknown,yes
56,entrepreneur,divorced,primary,29,no,no,52,227,1,failure,no
44,housemaid,single,primary,1059,no,no,2093,-1,0,unknown,yes
51,blue_collar,married,unknown,1432,no,no,388,-1,0,unknown,no
41,technician,married,secondary,128,yes,no,100,-1,0,unknown,no
42,unemployed,married,secondary,1289,no,no,1176,92,6,success,yes
51,housemaid,married,unknown,174,no,no,308,-1,0,unknown,no
32,self_employed,single,tertiary,1249,yes,no,472,-1,0,unknown,yes
71,retired,divorced,unknown,392,no,no,276,-1,0,unknown,yes
53,management,married,tertiary,800,no,no,90,-1,0,unknown,no
52,admin,married,secondary,722,no,no,99,185,3,failure,no
38,management,married,unknown,3576,no,no,349,183,1,success,yes
31,entrepreneur,divorced,secondary,290,yes,no,230,-1,0,unknown,no
43,technician,single,secondary,1195,yes,no,516,-1,0,unknown,no
30,self_employed,married,tertiary,2666,no,no,781,89,1,success,yes
42,blue_collar,single,primary,4930,no,no,973,-1,0,unknown,yes
61,retired,married,secondary,569,no,no,219,-1,0,unknown,yes
22,blue_collar,single,secondary,-51,yes,no,859,-1,0,unknown,yes
55,management,divorced,tertiary,9756,yes,no,103,95,1,other,yes
44,technician,single,tertiary,678,no,no,111,124,2,other,no
37,management,single,tertiary,230,yes,yes,120,272,1,failure,no
46,self_employed,married,tertiary,-80,yes,no,112,-1,0,unknown,no
38,management,divorced,secondary,257,yes,no,435,-1,0,unknown,yes
25,blue_collar,single,primary,292,yes,yes,1027,-1,0,unknown,yes
34,admin,married,secondary,560,yes,no,198,-1,0,unknown,no
31,blue_collar,single,secondary,1205,yes,no,462,328,2,other,no
37,management,single,tertiary,10269,yes,no,28,-1,0,unknown,no
34,technician,married,secondary,2019,yes,yes,102,-1,0,unknown,no
36,technician,married,secondary,-179,yes,no,144,-1,0,unknown,no
52,technician,married,tertiary,0,no,no,467,92,7,failure,yes
30,blue_collar,single,secondary,132,yes,no,329,-1,0,unknown,no
47,services,single,unknown,1784,no,no,385,-1,0,unknown,yes
72,retired,married,primary,3856,no,no,582,115,1,other,yes
51,retired,married,primary,67,no,no,835,-1,0,unknown,yes
54,admin,married,secondary,66,yes,no,167,-1,0,unknown,yes
43,services,divorced,secondary,-287,yes,no,580,-1,0,unknown,no
33,blue_collar,married,secondary,0,yes,yes,83,-1,0,unknown,no
29,management,single,tertiary,119,yes,no,136,-1,0,unknown,no
29,admin,married,tertiary,332,no,no,179,-1,0,unknown,yes
55,blue_collar,married,primary,11,no,no,150,-1,0,unknown,no
45,services,single,secondary,1515,no,no,14,-1,0,unknown,no
57,admin,divorced,secondary,-461,yes,yes,145,-1,0,unknown,no
48,blue_collar,married,primary,1670,no,no,145,-1,0,unknown,no
60,admin,married,secondary,106,no,no,137,187,4,success,yes
38,admin,divorced,secondary,0,no,yes,126,-1,0,unknown,no
46,self_employed,married,tertiary,137,yes,yes,246,-1,0,unknown,no
45,blue_collar,married,secondary,105,yes,yes,119,-1,0,unknown,no
32,blue_collar,single,secondary,15341,no,no,738,-1,0,unknown,no
59,management,married,tertiary,1783,no,yes,540,-1,0,unknown,yes
41,management,divorced,tertiary,647,yes,no,270,-1,0,unknown,no
54,admin,married,secondary,865,yes,no,71,-1,0,unknown,no
41,management,married,secondary,280,yes,no,88,95,2,success,no
58,services,married,secondary,688,no,no,152,-1,0,unknown,no
62,retired,married,primary,1742,no,no,167,98,6,other,yes
47,management,divorced,tertiary,8226,yes,no,137,-1,0,unknown,no
33,technician,married,secondary,0,yes,yes,163,-1,0,unknown,no
47,blue_collar,married,secondary,4709,no,no,78,-1,0,unknown,no
50,blue_collar,married,primary,106,no,no,460,-1,0,unknown,no
48,blue_collar,married,secondary,558,yes,no,708,-1,0,unknown,no
46,management,divorced,tertiary,14481,yes,no,1269,-1,0,unknown,yes
46,self_employed,single,primary,2032,no,no,424,-1,0,unknown,no
48,services,married,secondary,2850,yes,no,107,-1,0,unknown,no
33,technician,married,secondary,218,yes,yes,169,-1,0,unknown,no
59,technician,married,secondary,259,no,no,415,89,1,success,yes
43,housemaid,single,primary,800,yes,no,902,-1,0,unknown,yes
41,blue_collar,married,secondary,306,yes,no,86,369,2,failure,no
32,management,married,tertiary,663,no,yes,62,-1,0,unknown,no
31,self_employed,single,tertiary,1815,no,no,1541,-1,0,unknown,yes
30,technician,single,secondary,281,no,no,105,-1,0,unknown,no
22,services,single,secondary,129,no,no,258,-1,0,unknown,yes
56,technician,married,secondary,1938,no,yes,229,192,4,success,yes
45,unemployed,married,secondary,2040,no,no,803,-1,0,unknown,yes
46,technician,married,secondary,0,no,no,63,-1,0,unknown,no
33,self_employed,married,primary,1862,yes,no,65,-1,0,unknown,no
41,blue_collar,married,secondary,580,yes,no,874,363,1,failure,yes
28,admin,single,tertiary,832,no,no,433,342,1,failure,yes
46,admin,married,secondary,70,yes,no,229,-1,0,unknown,yes
33,services,divorced,secondary,44,no,yes,529,-1,0,unknown,yes
36,technician,married,secondary,1466,yes,no,441,-1,0,unknown,no
33,technician,single,tertiary,2565,yes,no,128,-1,0,unknown,no
35,entrepreneur,married,tertiary,-31,yes,no,171,-1,0,unknown,no
59,unemployed,single,primary,7724,no,no,373,-1,0,unknown,yes
32,admin,married,tertiary,0,yes,no,138,-1,0,unknown,no
77,retired,married,primary,2223,no,no,365,187,1,success,no
31,management,married,tertiary,1164,yes,yes,238,-1,0,unknown,no
45,admin,married,secondary,204,yes,no,224,-1,0,unknown,yes
23,services,single,secondary,31,no,no,192,-1,0,unknown,yes
36,management,married,tertiary,495,no,no,157,97,2,success,yes
52,self_employed,married,tertiary,6657,no,no,917,-1,0,unknown,yes
54,retired,single,secondary,129,no,yes,867,-1,0,unknown,yes
61,retired,married,tertiary,2557,yes,no,89,91,4,success,yes
35,services,divorced,secondary,-504,no,no,228,-1,0,unknown,no
38,services,married,secondary,8876,no,no,280,75,1,failure,no
28,technician,single,secondary,909,no,yes,532,-1,0,unknown,yes
25,student,single,secondary,4147,no,no,211,-1,0,unknown,yes
39,management,married,tertiary,285,yes,no,838,-1,0,unknown,yes
40,blue_collar,married,primary,57,yes,no,1007,-1,0,unknown,yes
38,management,single,tertiary,455,yes,no,255,555,6,success,yes
55,blue_collar,divorced,primary,410,no,yes,221,-1,0,unknown,no
29,management,married,secondary,231,no,no,1075,14,1,failure,yes
26,management,single,tertiary,1623,no,no,479,-1,0,unknown,yes
25,student,married,tertiary,10,yes,no,857,-1,0,unknown,yes
55,technician,married,secondary,517,yes,yes,61,-1,0,unknown,no
48,management,married,tertiary,3842,no,no,215,-1,0,unknown,yes
58,retired,divorced,tertiary,3237,no,no,615,-1,0,unknown,yes
39,technician,single,secondary,15,yes,no,510,-1,0,unknown,yes
40,unemployed,single,tertiary,79,no,no,570,135,1,failure,yes
34,entrepreneur,single,tertiary,2945,yes,no,266,-1,0,unknown,no
30,blue_collar,single,primary,395,no,no,429,-1,0,unknown,no
23,housemaid,single,primary,93,yes,no,70,-1,0,unknown,no
47,blue_collar,married,secondary,1996,no,no,761,-1,0,unknown,yes
30,self_employed,single,tertiary,251,no,no,537,-1,0,unknown,yes
35,technician,divorced,secondary,2047,yes,no,66,-1,0,unknown,no
87,retired,divorced,primary,6746,no,no,749,-1,0,unknown,yes
31,blue_collar,married,primary,-848,yes,no,559,-1,0,unknown,no
44,management,married,tertiary,3665,no,no,325,-1,0,unknown,no
49,management,married,tertiary,322,no,no,72,-1,0,unknown,no
34,admin,married,secondary,1474,no,no,739,-1,0,unknown,yes
37,technician,married,secondary,0,yes,yes,101,-1,0,unknown,no
33,management,married,tertiary,273,yes,no,803,-1,0,unknown,yes
33,services,married,primary,6904,no,no,114,-1,0,unknown,no
32,technician,married,primary,62,yes,yes,120,-1,0,unknown,no
21,student,single,secondary,2488,no,no,180,-1,0,unknown,yes
26,services,single,secondary,209,yes,no,319,-1,0,unknown,no
55,blue_collar,married,secondary,2854,yes,no,312,-1,0,unknown,no
36,admin,married,secondary,465,yes,no,160,-1,0,unknown,no
46,technician,divorced,secondary,117,no,no,94,-1,0,unknown,no
32,blue_collar,married,primary,388,yes,no,171,-1,0,unknown,no
30,services,single,secondary,-114,yes,no,396,-1,0,unknown,no
35,services,single,secondary,1239,yes,no,60,347,1,failure,no
51,admin,divorced,secondary,2195,yes,no,59,-1,0,unknown,no
45,management,married,tertiary,160,no,no,182,194,1,success,yes
31,technician,married,secondary,7369,no,no,204,-1,0,unknown,no
50,blue_collar,married,secondary,907,no,yes,68,-1,0,unknown,no
47,management,single,tertiary,86,no,no,253,97,4,success,yes
47,housemaid,divorced,primary,1405,no,no,127,-1,0,unknown,no
39,services,married,secondary,2,yes,no,174,-1,0,unknown,no
49,blue_collar,married,primary,1032,yes,no,41,-1,0,unknown,no
20,student,single,primary,0,no,no,143,91,8,failure,no
36,student,single,unknown,417,no,no,304,181,1,success,yes
48,management,married,tertiary,190,no,no,14,-1,0,unknown,no
33,services,married,secondary,-384,yes,no,125,-1,0,unknown,no
23,student,single,secondary,107,no,no,84,183,1,success,yes
33,entrepreneur,married,secondary,-627,yes,yes,740,-1,0,unknown,yes
43,management,married,tertiary,149,yes,no,662,-1,0,unknown,yes
29,technician,single,secondary,590,no,no,124,-1,0,unknown,yes
42,blue_collar,married,primary,807,yes,no,1057,-1,0,unknown,yes
47,unemployed,divorced,secondary,947,no,no,124,-1,0,unknown,no
51,technician,divorced,secondary,0,yes,no,463,-1,0,unknown,no
35,services,single,secondary,719,yes,no,1359,368,3,failure,yes
44,housemaid,single,secondary,299,no,no,186,-1,0,unknown,no
59,entrepreneur,married,primary,0,no,no,239,-1,0,unknown,no
59,retired,married,unknown,0,no,no,213,-1,0,unknown,no
37,management,single,tertiary,876,yes,no,140,327,2,failure,no
33,blue_collar,single,primary,557,yes,no,91,331,2,failure,no
35,management,married,tertiary,-547,yes,no,101,-1,0,unknown,no
36,unemployed,divorced,secondary,5,yes,no,305,-1,0,unknown,no
29,management,single,tertiary,268,no,no,667,-1,0,unknown,yes
30,management,single,tertiary,2766,yes,yes,244,-1,0,unknown,no
54,management,married,secondary,5249,yes,no,108,-1,0,unknown,no
41,unemployed,single,tertiary,79,no,no,394,390,2,success,yes
34,services,married,secondary,1182,yes,no,124,-1,0,unknown,no
30,admin,married,secondary,15,yes,no,257,-1,0,unknown,no
35,unemployed,married,secondary,978,no,no,1370,209,3,success,yes
35,management,married,tertiary,71,yes,no,510,-1,0,unknown,no
36,management,single,tertiary,811,no,no,229,-1,0,unknown,yes
34,management,single,tertiary,5,no,no,370,-1,0,unknown,yes
56,services,married,secondary,0,no,no,112,-1,0,unknown,no
29,housemaid,single,tertiary,19,no,no,274,230,1,success,yes
39,management,divorced,tertiary,224,no,no,208,-1,0,unknown,yes
37,blue_collar,single,secondary,5024,no,yes,661,-1,0,unknown,yes
33,admin,divorced,tertiary,891,no,no,398,-1,0,unknown,yes
23,management,single,tertiary,2143,no,no,180,-1,0,unknown,yes
33,technician,married,secondary,-616,yes,yes,320,-1,0,unknown,no
40,blue_collar,married,primary,13,yes,no,178,-1,0,unknown,no
56,blue_collar,married,secondary,771,yes,yes,254,-1,0,unknown,no
41,management,married,tertiary,653,yes,no,60,-1,0,unknown,no
20,student,single,tertiary,2764,yes,no,139,-1,0,unknown,no
24,student,single,secondary,822,no,no,184,91,2,failure,yes
57,technician,married,secondary,29207,yes,no,232,-1,0,unknown,no
30,technician,married,secondary,1011,yes,no,109,-1,0,unknown,no
40,management,married,tertiary,0,yes,no,506,-1,0,unknown,yes
57,entrepreneur,married,primary,1153,yes,yes,238,-1,0,unknown,no
41,blue_collar,married,primary,0,yes,yes,238,-1,0,unknown,no
30,services,single,secondary,1824,yes,no,153,-1,0,unknown,no
49,technician,divorced,secondary,2677,yes,yes,67,-1,0,unknown,no
36,technician,married,secondary,15485,no,no,461,-1,0,unknown,yes
49,blue_collar,married,primary,408,no,no,559,-1,0,unknown,yes
42,blue_collar,married,primary,201,yes,no,265,103,3,success,yes
46,admin,single,unknown,306,yes,no,289,-1,0,unknown,no
45,technician,single,secondary,586,no,yes,32,-1,0,unknown,no
37,management,married,tertiary,1125,yes,no,301,-1,0,unknown,no
29,self_employed,single,tertiary,162,no,yes,324,-1,0,unknown,no
37,admin,single,secondary,192,yes,no,105,-1,0,unknown,no
34,management,married,tertiary,13,yes,no,99,-1,0,unknown,no
32,self_employed,married,secondary,67,no,no,153,-1,0,unknown,no
60,retired,married,tertiary,3461,no,no,128,-1,0,unknown,no
48,blue_collar,married,primary,719,no,yes,418,-1,0,unknown,yes
41,admin,married,secondary,80,no,no,202,-1,0,unknown,no
37,management,married,tertiary,5355,no,no,466,-1,0,unknown,yes
28,self_employed,single,tertiary,4579,no,no,409,-1,0,unknown,yes
54,retired,married,primary,309,no,no,969,-1,0,unknown,yes
47,technician,married,secondary,3466,yes,no,853,-1,0,unknown,yes
33,self_employed,divorced,tertiary,454,no,yes,134,-1,0,unknown,no
59,management,divorced,tertiary,258,yes,no,33,173,1,success,no
30,management,single,tertiary,232,no,no,219,91,1,success,yes
45,blue_collar,married,primary,6691,no,no,211,-1,0,unknown,no
26,self_employed,single,tertiary,168,no,no,394,-1,0,unknown,yes
32,technician,single,tertiary,569,no,yes,348,-1,0,unknown,no
35,self_employed,divorced,tertiary,1354,yes,no,736,-1,0,unknown,yes
41,housemaid,divorced,primary,22,yes,no,238,126,4,other,no
62,self_employed,divorced,tertiary,6,yes,no,216,183,4,success,yes
26,technician,single,tertiary,11862,no,no,119,-1,0,unknown,yes
73,retired,married,secondary,2850,no,no,512,144,7,failure,no
47,management,married,tertiary,288,no,no,101,-1,0,unknown,yes
32,self_employed,married,tertiary,102,no,no,398,-1,0,unknown,no
36,management,single,unknown,62,no,no,398,-1,0,unknown,yes
49,management,married,primary,3371,no,no,269,-1,0,unknown,yes
57,management,married,tertiary,473,no,no,295,-1,0,unknown,yes
35,management,single,tertiary,0,no,no,81,-1,0,unknown,no
32,entrepreneur,married,unknown,73,yes,no,158,135,1,failure,no
49,services,married,secondary,202,yes,no,651,104,1,failure,yes
48,blue_collar,married,unknown,113,no,no,104,-1,0,unknown,no
30,admin,divorced,secondary,370,yes,no,160,-1,0,unknown,no
30,blue_collar,single,secondary,315,no,no,1407,-1,0,unknown,yes
33,technician,single,secondary,66,no,no,157,-1,0,unknown,yes
37,technician,married,secondary,95,no,no,454,-1,0,unknown,no
42,management,married,secondary,-34,no,no,176,-1,0,unknown,no
61,retired,married,primary,197,no,no,113,-1,0,unknown,yes
32,management,single,tertiary,623,no,no,335,194,2,failure,yes
28,management,single,tertiary,3796,no,no,315,-1,0,unknown,yes
33,self_employed,single,tertiary,562,yes,yes,196,363,1,failure,yes
35,admin,married,secondary,725,yes,no,219,133,1,failure,no
31,services,single,secondary,658,no,no,100,-1,0,unknown,no
49,admin,married,secondary,197,yes,no,223,182,2,failure,yes
29,management,married,tertiary,247,no,no,143,587,3,failure,yes
64,retired,married,secondary,588,no,no,574,179,3,success,yes
53,admin,married,secondary,10541,no,no,178,-1,0,unknown,yes
41,services,divorced,tertiary,1583,yes,no,662,-1,0,unknown,yes
43,management,married,tertiary,1379,yes,no,383,-1,0,unknown,no
74,retired,divorced,primary,166,no,no,99,-1,0,unknown,no
58,management,single,tertiary,342,no,yes,564,-1,0,unknown,no
46,management,single,tertiary,2904,yes,no,984,-1,0,unknown,yes
36,blue_collar,single,secondary,1127,yes,no,455,-1,0,unknown,no
36,blue_collar,married,secondary,1790,yes,no,386,-1,0,unknown,no
49,unemployed,married,primary,11,yes,no,166,-1,0,unknown,no
41,admin,single,tertiary,982,no,no,105,-1,0,unknown,no
65,entrepreneur,married,tertiary,2331,no,no,425,183,2,success,yes
31,management,married,tertiary,859,yes,yes,182,-1,0,unknown,no
26,technician,single,tertiary,15161,no,no,280,-1,0,unknown,yes
37,services,divorced,secondary,49,yes,no,619,-1,0,unknown,yes
30,student,single,secondary,1681,no,no,329,-1,0,unknown,yes
51,blue_collar,married,primary,201,yes,no,582,-1,0,unknown,yes
61,retired,married,secondary,938,no,no,392,183,3,success,yes
27,admin,single,tertiary,689,no,no,98,307,1,failure,no
60,admin,married,primary,-444,no,yes,227,-1,0,unknown,no
26,admin,single,secondary,141,yes,no,19,349,6,other,no
63,retired,divorced,primary,1840,no,no,71,-1,0,unknown,no
33,blue_collar,married,primary,195,no,no,984,-1,0,unknown,yes
39,services,married,secondary,-971,yes,yes,104,-1,0,unknown,no
43,technician,married,secondary,136,no,no,363,-1,0,unknown,yes
39,blue_collar,married,primary,-50,yes,no,100,-1,0,unknown,no
31,admin,married,secondary,89,no,no,297,-1,0,unknown,no
39,technician,married,secondary,1587,yes,no,171,-1,0,unknown,yes
68,retired,married,primary,451,no,no,373,-1,0,unknown,yes
36,admin,single,tertiary,980,no,no,156,179,4,failure,no
32,technician,married,secondary,473,no,yes,1064,95,3,success,yes
37,blue_collar,single,unknown,2188,no,no,193,-1,0,unknown,no
38,entrepreneur,married,secondary,680,yes,no,144,-1,0,unknown,no
34,technician,divorced,secondary,-276,yes,no,175,-1,0,unknown,no
41,management,married,tertiary,1897,yes,no,335,-1,0,unknown,no
42,blue_collar,married,secondary,-755,yes,yes,312,-1,0,unknown,no
